iter	RMSE
0	17.56756235
1	16.39841403
2	15.37988692
3	14.49090375
4	13.72873097
5	13.07904154
6	12.50071948
7	12.01247318
8	11.59493736
9	11.22847303
10	10.91433486
11	10.64288203
12	10.41012409
13	10.20796603
14	10.03487627
15	9.880976828
16	9.752729637
17	9.640535347
18	9.547664521
19	9.460058433
20	9.388924629
21	9.328009575
22	9.274616549
23	9.223326893
24	9.181965018
25	9.142548255
26	9.11232922
27	9.083056989
28	9.056235986
29	9.034335269
30	9.013785937
31	8.996068339
32	8.979774727
33	8.966312263
34	8.953334377
35	8.941937598
36	8.932523162
37	8.924097144
38	8.915841367
39	8.909723379
40	8.903768295
41	8.898134534
42	8.893555755
43	8.888979778
44	8.885310776
45	8.881493044
46	8.878693787
47	8.875702088
48	8.872784779
49	8.870656613
50	8.86860086
51	8.866644156
52	8.865026937
53	8.863393962
54	8.861979341
55	8.860742075
56	8.859546619
57	8.858632691
58	8.857591731
59	8.856517541
60	8.855672413
61	8.854807037
62	8.854047011
63	8.853286173
64	8.852377736
65	8.85145493
66	8.850753427
67	8.850265209
68	8.849750055
69	8.849190957
70	8.848529109
71	8.848120548
72	8.847568667
73	8.846847005
74	8.845984155
75	8.844922409
76	8.844432002
77	8.844084886
78	8.843494493
79	8.843041076
80	8.842532075
81	8.842148837
82	8.841608547
83	8.841148853
84	8.84070212
85	8.840190107
86	8.839737737
87	8.839155307
88	8.83874819
89	8.838319748
90	8.837798124
91	8.837297423
92	8.836997876
93	8.836665797
94	8.836029113
95	8.835283889
96	8.83513306
97	8.834799307
98	8.834331524
99	8.83407228
100	8.83384146
101	8.833288952
102	8.832881866
103	8.832593462
104	8.831900724
105	8.831163923
106	8.83087894
107	8.830531756
108	8.830120787
109	8.82978539
110	8.829376531
111	8.828968886
112	8.828195848
113	8.827689606
114	8.827222768
115	8.826817347
116	8.826590916
117	8.826084585
118	8.825767765
119	8.825381312
120	8.824713587
121	8.824451181
122	8.824243243
123	8.823890955
124	8.823402525
125	8.823069536
126	8.822768344
127	8.822476718
128	8.82195604
129	8.821484665
130	8.821112796
131	8.820748459
132	8.820421245
133	8.8199295
134	8.819575836
135	8.81899316
136	8.818657845
137	8.818307666
138	8.817914941
139	8.817626546
140	8.817338454
141	8.817107627
142	8.816759382
143	8.816440094
144	8.815994571
145	8.815492349
146	8.815145286
147	8.814662379
148	8.814325192
149	8.814028172
150	8.813436438
151	8.813159191
152	8.812818703
153	8.812349708
154	8.812096407
155	8.811810477
156	8.811331455
157	8.811013677
158	8.810684423
159	8.810358954
160	8.809943068
161	8.809670997
162	8.809306681
163	8.808880123
164	8.80844154
165	8.808151537
166	8.807887038
167	8.807611
168	8.807416723
169	8.807009444
170	8.806700146
171	8.806370204
172	8.806125529
173	8.805673993
174	8.805428744
175	8.805133958
176	8.804877966
177	8.804534541
178	8.804238487
179	8.803916402
180	8.803637762
181	8.803358641
182	8.802877681
183	8.802629364
184	8.802292085
185	8.802015441
186	8.801788635
187	8.801467098
188	8.80105835
189	8.800770596
190	8.800495444
191	8.800202039
192	8.799891285
193	8.799503055
194	8.79912817
195	8.798932161
196	8.798626009
197	8.798326981
198	8.798037812
199	8.797664717
200	8.797306265
201	8.797036877
202	8.796749058
203	8.79639082
204	8.796095729
205	8.795806548
206	8.79564602
207	8.795395137
208	8.795086024
209	8.794830672
210	8.794567924
211	8.794351303
212	8.794108378
213	8.793868166
214	8.7935821
215	8.793333547
216	8.793101319
217	8.792813672
218	8.792517116
219	8.792261178
220	8.79196732
221	8.791635601
222	8.791451699
223	8.79121639
