iter	Passed	Remaining
0	192	192210
1	217	108595
2	243	80774
3	267	66675
4	293	58322
5	316	52504
6	343	48671
7	367	45592
8	392	43252
9	416	41214
10	440	39628
11	466	38403
12	492	37363
13	516	36364
14	540	35465
15	564	34696
16	587	33979
17	612	33389
18	636	32840
19	659	32315
20	682	31827
21	706	31394
22	729	30990
23	752	30606
24	774	30210
25	797	29869
26	820	29561
27	843	29270
28	864	28940
29	887	28681
30	907	28371
31	927	28043
32	949	27835
33	969	27556
34	991	27341
35	1013	27136
36	1031	26852
37	1050	26602
38	1072	26419
39	1092	26210
40	1111	25997
41	1130	25793
42	1149	25576
43	1168	25392
44	1188	25212
45	1207	25051
46	1227	24892
47	1248	24764
48	1267	24609
49	1287	24462
50	1306	24309
51	1325	24169
52	1345	24035
53	1364	23900
54	1383	23778
55	1402	23644
56	1422	23535
57	1442	23425
58	1463	23341
59	1482	23219
60	1501	23117
61	1521	23023
62	1541	22921
63	1560	22828
64	1580	22734
65	1600	22645
66	1620	22561
67	1639	22465
68	1659	22396
69	1678	22302
70	1698	22226
71	1718	22144
72	1737	22063
73	1757	21993
74	1778	21929
75	1798	21864
76	1817	21786
77	1836	21706
78	1856	21643
79	1877	21589
80	1896	21521
81	1915	21448
82	1937	21400
83	1956	21332
84	1976	21276
85	1995	21212
86	2015	21155
87	2037	21114
88	2057	21064
89	2078	21013
90	2098	20965
91	2118	20904
92	2138	20859
93	2158	20808
94	2179	20759
95	2199	20715
96	2219	20661
97	2239	20609
98	2260	20571
99	2279	20519
100	2299	20464
101	2317	20407
102	2337	20359
103	2357	20308
104	2378	20276
105	2399	20238
106	2417	20179
107	2438	20140
108	2458	20099
109	2479	20061
110	2498	20009
111	2516	19954
112	2538	19922
113	2560	19903
114	2582	19875
115	2602	19833
116	2621	19781
117	2641	19746
118	2661	19700
119	2681	19667
120	2704	19648
121	2725	19611
122	2745	19576
123	2765	19536
124	2787	19512
125	2807	19471
126	2828	19443
127	2848	19402
128	2870	19378
129	2889	19337
130	2909	19297
131	2928	19259
132	2950	19235
133	2973	19216
134	2993	19180
135	3015	19154
136	3036	19129
137	3057	19095
138	3078	19068
139	3098	19032
140	3118	18996
141	3137	18956
142	3158	18931
143	3179	18903
144	3202	18882
145	3223	18855
146	3246	18838
147	3267	18807
148	3286	18773
149	3305	18731
150	3327	18708
151	3346	18667
152	3367	18640
153	3387	18611
154	3407	18575
155	3427	18541
156	3448	18516
157	3469	18488
158	3489	18454
159	3511	18432
160	3532	18406
161	3551	18369
162	3576	18364
163	3597	18336
164	3617	18307
165	3636	18270
166	3656	18236
167	3677	18211
168	3696	18176
169	3716	18144
170	3736	18112
171	3757	18090
172	3776	18053
173	3798	18031
174	3817	17999
175	3837	17967
176	3859	17944
177	3880	17921
178	3901	17894
179	3923	17874
180	3944	17846
181	3965	17821
182	3984	17787
183	4005	17764
184	4027	17740
185	4046	17708
186	4066	17677
187	4088	17659
188	4108	17629
189	4127	17596
190	4147	17569
191	4169	17545
192	4189	17519
193	4209	17490
194	4230	17465
195	4249	17431
196	4269	17404
197	4289	17375
198	4308	17343
199	4330	17320
200	4350	17295
201	4372	17272
202	4393	17250
203	4414	17226
204	4439	17217
205	4460	17190
206	4479	17160
207	4501	17141
208	4524	17123
209	4544	17097
210	4566	17077
211	4589	17059
212	4610	17036
213	4632	17014
214	4653	16991
215	4675	16970
216	4696	16944
217	4718	16924
218	4741	16907
219	4763	16887
220	4785	16867
221	4806	16844
222	4828	16824
223	4849	16799
224	4873	16784
225	4896	16767
226	4918	16748
227	4940	16728
228	4962	16709
229	4984	16685
230	5006	16667
231	5027	16644
232	5049	16620
233	5072	16605
234	5094	16585
235	5117	16565
236	5142	16554
237	5164	16534
238	5185	16511
239	5207	16489
240	5227	16461
241	5248	16439
242	5270	16419
243	5290	16393
244	5310	16363
245	5331	16339
246	5350	16310
247	5370	16285
248	5391	16261
249	5410	16231
250	5432	16209
251	5453	16186
252	5474	16164
253	5495	16139
254	5516	16116
255	5535	16088
256	5556	16063
257	5577	16040
258	5597	16015
259	5618	15992
260	5643	15978
261	5663	15952
262	5684	15930
263	5705	15904
264	5725	15880
265	5746	15856
266	5767	15833
267	5787	15807
268	5807	15781
269	5840	15790
270	5861	15767
271	5884	15748
272	5909	15735
273	5936	15729
274	5961	15717
275	5986	15702
276	6012	15692
277	6039	15684
278	6064	15672
279	6091	15663
280	6118	15655
281	6142	15639
282	6166	15622
283	6191	15608
284	6214	15591
285	6238	15574
286	6264	15563
287	6290	15552
288	6315	15537
289	6339	15520
290	6366	15510
291	6396	15508
292	6427	15510
293	6459	15512
294	6488	15506
295	6516	15497
296	6542	15485
297	6573	15485
298	6603	15481
299	6635	15482
300	6664	15477
301	6690	15463
302	6717	15452
303	6747	15448
304	6776	15440
305	6803	15429
306	6829	15415
307	6854	15401
308	6879	15383
309	6902	15363
310	6925	15343
311	6951	15329
312	6977	15314
313	7010	15316
314	7041	15311
315	7071	15305
316	7099	15296
317	7129	15290
318	7158	15281
319	7184	15266
320	7212	15257
321	7236	15237
322	7262	15221
323	7287	15204
324	7312	15187
325	7337	15171
326	7360	15148
327	7383	15126
328	7404	15102
329	7425	15075
330	7449	15056
331	7470	15031
332	7492	15008
333	7515	14985
334	7538	14964
335	7565	14950
336	7592	14937
337	7618	14921
338	7650	14916
339	7676	14902
340	7706	14893
341	7732	14877
342	7758	14860
343	7783	14843
344	7810	14828
345	7835	14809
346	7857	14787
347	7882	14768
348	7903	14743
349	7924	14716
350	7947	14694
351	7967	14667
352	7988	14642
353	8009	14615
354	8033	14595
355	8054	14571
356	8075	14544
357	8095	14517
358	8117	14493
359	8139	14469
360	8164	14452
361	8189	14434
362	8213	14412
363	8241	14400
364	8271	14390
365	8302	14381
366	8334	14374
367	8361	14359
368	8387	14343
369	8413	14326
370	8438	14306
371	8465	14291
372	8491	14274
373	8515	14252
374	8539	14231
375	8560	14207
376	8584	14185
377	8604	14159
378	8627	14136
379	8648	14111
380	8669	14085
381	8691	14060
382	8712	14035
383	8734	14011
384	8755	13986
385	8778	13963
386	8800	13939
387	8822	13915
388	8843	13890
389	8865	13866
390	8890	13847
391	8914	13826
392	8940	13809
393	8968	13793
394	8999	13783
395	9028	13771
396	9056	13755
397	9081	13736
398	9105	13714
399	9127	13690
400	9152	13671
401	9178	13653
402	9205	13636
403	9231	13619
404	9256	13599
405	9281	13578
406	9304	13556
407	9327	13534
408	9349	13509
409	9371	13486
410	9393	13461
411	9414	13436
412	9435	13411
413	9457	13386
414	9478	13361
415	9498	13334
416	9519	13309
417	9541	13285
418	9564	13261
419	9585	13237
420	9606	13211
421	9626	13185
422	9648	13161
423	9671	13137
424	9691	13112
425	9714	13088
426	9735	13064
427	9757	13040
428	9779	13016
429	9801	12992
430	9822	12967
431	9843	12942
432	9866	12919
433	9888	12896
434	9912	12875
435	9934	12850
436	9955	12825
437	9978	12803
438	9999	12777
439	10020	12752
440	10043	12730
441	10066	12708
442	10087	12683
443	10109	12659
444	10130	12635
445	10152	12610
446	10173	12586
447	10195	12561
448	10215	12536
449	10238	12513
450	10261	12490
451	10283	12468
452	10305	12443
453	10327	12420
454	10351	12399
455	10373	12375
456	10396	12353
457	10417	12327
458	10437	12302
459	10460	12280
460	10482	12256
461	10505	12233
462	10527	12209
463	10548	12184
464	10571	12162
465	10592	12137
466	10613	12113
467	10635	12089
468	10657	12066
469	10681	12044
470	10702	12020
471	10724	11996
472	10746	11973
473	10767	11948
474	10788	11923
475	10809	11900
476	10830	11875
477	10851	11850
478	10873	11826
479	10895	11803
480	10918	11781
481	10941	11758
482	10963	11735
483	10985	11711
484	11006	11686
485	11028	11663
486	11051	11641
487	11071	11616
488	11093	11592
489	11114	11568
490	11135	11544
491	11160	11523
492	11183	11501
493	11205	11478
494	11228	11455
495	11251	11433
496	11271	11407
497	11294	11384
498	11316	11361
499	11339	11339
500	11361	11315
501	11382	11292
502	11404	11268
503	11428	11246
504	11451	11224
505	11474	11202
506	11498	11181
507	11522	11159
508	11545	11137
509	11577	11123
510	11609	11109
511	11641	11095
512	11666	11075
513	11691	11054
514	11718	11036
515	11741	11013
516	11769	10995
517	11795	10975
518	11821	10956
519	11845	10934
520	11871	10914
521	11894	10891
522	11915	10867
523	11936	10843
524	11959	10820
525	11981	10796
526	12003	10773
527	12026	10750
528	12047	10726
529	12069	10703
530	12090	10679
531	12112	10654
532	12134	10632
533	12156	10608
534	12178	10584
535	12202	10563
536	12223	10539
537	12253	10522
538	12278	10501
539	12313	10488
540	12347	10475
541	12372	10455
542	12397	10433
543	12421	10412
544	12451	10395
545	12483	10380
546	12514	10364
547	12545	10347
548	12599	10350
549	12692	10384
550	13310	10846
551	13558	11004
552	13642	11027
553	13701	11030
554	13754	11028
555	13790	11012
556	13824	10995
557	13855	10975
558	13889	10957
559	13915	10933
560	13944	10911
561	13974	10890
562	14001	10867
563	14030	10846
564	14061	10826
565	14091	10804
566	14116	10780
567	14144	10758
568	14171	10734
569	14196	10709
570	14223	10686
571	14250	10663
572	14275	10638
573	14303	10615
574	14329	10591
575	14353	10566
576	14376	10539
577	14399	10512
578	14422	10487
579	14446	10461
580	14469	10434
581	14491	10408
582	14514	10381
583	14540	10357
584	14569	10335
585	14596	10311
586	14625	10290
587	14650	10265
588	14675	10240
589	14703	10217
590	14733	10196
591	14759	10172
592	14789	10150
593	14818	10128
594	14847	10106
595	14873	10082
596	14900	10058
597	14928	10035
598	14955	10011
599	14983	9988
600	15009	9964
601	15035	9940
602	15062	9916
